district,component,blocks,populated_blocks,population
001,1,6131,4945,178908
001,2,4,2,6
001,3,1,1,2
001,4,1,0,0
001,5,2,1,20
002,1,5293,4036,178398
002,2,7,5,40
002,3,1,0,0
002,4,3,3,26
002,5,1,0,0
003,1,2190,1794,178536
004,1,2286,1894,178419
005,1,3111,2515,178509
005,2,1,1,15
005,3,1,0,0
005,4,1,1,12
006,1,2760,2293,178495
007,1,2200,1870,178460
008,1,3228,2571,178548
008,2,1,0,0
008,3,3,1,4
009,1,6208,4577,178822
009,2,1,1,2
009,3,1,1,3
009,4,1,0,0
010,1,6829,5077,178810
011,1,6302,4738,178527
011,2,13,12,207
011,3,1,1,7
012,1,15442,8930,178519
013,1,7065,4966,178437
013,2,6,0,0
013,3,1,0,0
013,4,1,0,0
014,1,10255,7185,178242
014,2,3,3,27
014,3,2,2,14
014,4,1,1,2
014,5,2,1,31
014,6,1,0,0
014,7,3,3,15
015,1,5449,4367,179080
015,2,1,1,22
015,3,1,1,1
015,4,2,1,12
015,5,1,1,3
016,1,3372,2446,176326
016,2,24,23,998
016,3,1,1,673
016,4,10,0,0
016,5,13,6,520
016,6,14,0,0
016,7,1,0,0
016,8,1,0,0
016,9,3,1,88
016,10,2,1,3
016,11,1,0,0
017,1,13035,8912,178829
018,1,5035,3677,178812
019,1,3822,2906,178550
020,1,4752,3815,178685
020,2,3,1,5
020,3,1,0,0
021,1,3865,2991,178235
021,2,3,3,96
021,3,1,0,0
021,4,1,1,4
021,5,1,1,1
021,6,1,1,9
021,7,1,1,7
021,8,1,1,16
022,1,3224,2699,178092
022,2,9,0,0
022,3,2,0,0
023,1,9489,6612,177095
023,2,39,30,1242
023,3,1,1,5
023,4,1,1,9
023,5,1,1,4
023,6,1,0,0
023,7,2,1,5
024,1,9676,6638,178407
024,2,3,0,0
024,3,1,0,0
024,4,1,0,0
024,5,1,0,0
024,6,1,0,0
025,1,15638,10080,178470
026,1,2165,1694,178749
027,1,5427,3936,178581
027,2,2,1,8
027,3,3,2,18
027,4,20,9,79
027,5,1,1,13
027,6,3,1,4
027,7,1,1,3
027,8,8,4,24
027,9,5,1,5
027,10,1,1,12
027,11,2,0,0
027,12,2,1,3
027,13,2,0,0
027,14,2,0,0
027,15,1,0,0
027,16,1,1,1
027,17,1,0,0
027,18,1,1,4
027,19,4,1,11
027,20,1,1,5
027,21,1,1,6
027,22,2,1,1
027,23,2,1,8
027,24,3,2,44
027,25,1,0,0
027,26,1,1,3
027,27,1,0,0
027,28,1,1,10
027,29,3,3,99
027,30,1,1,3
027,31,2,0,0
027,32,1,0,0
027,33,1,1,15
028,1,2879,2335,178497
028,2,1,1,9
029,1,9459,6737,178791
029,2,1,0,0
030,1,4346,3296,178298
030,2,2,1,16
030,3,8,5,269
031,1,9370,6361,178630
031,2,1,0,0
032,1,8034,5202,178385
033,1,3877,2683,178704
033,2,5,4,16
033,3,1,0,0
033,4,1,1,8
033,5,1,1,19
